run_id,algorithm,network_load,topology,pfc,irn,simulation_duration_s,selected_flows,average_slowdown,p99_slowdown
686576161,fecmp,50,leaf_spine_128_100G_OS2,1,0,0.1,929375,1.91035363865324,10.404886138929642
68868452,letflow,50,leaf_spine_128_100G_OS2,1,0,0.1,929375,1.8990733591094195,10.253200568990042
241102861,conga,50,leaf_spine_128_100G_OS2,1,0,0.1,929375,1.672399248634964,7.960261108566193
744630416,conweave,50,leaf_spine_128_100G_OS2,1,0,0.1,929375,1.4654053656616757,5.3248690503302205
871741874,fecmp,50,leaf_spine_128_100G_OS2,0,1,0.1,929375,1.5447434059381127,6.5006841088307485
693253239,letflow,50,leaf_spine_128_100G_OS2,0,1,0.1,929375,1.5527447959958218,6.5956896663175995
793507963,conga,50,leaf_spine_128_100G_OS2,0,1,0.1,929375,1.4902695254068055,5.906707754354325
947383735,conweave,50,leaf_spine_128_100G_OS2,0,1,0.1,929375,1.3489662132255622,3.801111111111111
