flow_control,baseline,conweave_average,baseline_average,conweave_average_lower,conweave_p99,baseline_p99,conweave_p99_lower
Lossless,fecmp,1.4654053656616757,1.91035363865324,True,5.3248690503302205,10.404886138929642,True
Lossless,letflow,1.4654053656616757,1.8990733591094195,True,5.3248690503302205,10.253200568990042,True
Lossless,conga,1.4654053656616757,1.672399248634964,True,5.3248690503302205,7.960261108566193,True
IRN,fecmp,1.3489662132255622,1.5447434059381127,True,3.801111111111111,6.5006841088307485,True
IRN,letflow,1.3489662132255622,1.5527447959958218,True,3.801111111111111,6.5956896663175995,True
IRN,conga,1.3489662132255622,1.4902695254068055,True,3.801111111111111,5.906707754354325,True
