run_id,algorithm,tor_id,interface,sample_start_ns,sample_finish_ns,transmitted_bytes
920128101,fecmp,128,17,2010000000,2110310000,1053441428
920128101,fecmp,128,18,2010000000,2110310000,1121021524
920128101,fecmp,128,19,2010000000,2110310000,972189112
920128101,fecmp,128,20,2010000000,2110310000,1107699596
920128101,fecmp,128,21,2010000000,2110310000,1058205556
920128101,fecmp,128,22,2010000000,2110310000,1018024416
920128101,fecmp,128,23,2010000000,2110310000,991147032
920128101,fecmp,128,24,2010000000,2110310000,1006347624
920128101,fecmp,129,17,2010000000,2110310000,990778568
920128101,fecmp,129,18,2010000000,2110310000,1033341772
920128101,fecmp,129,19,2010000000,2110310000,1018914452
920128101,fecmp,129,20,2010000000,2110310000,1170730920
920128101,fecmp,129,21,2010000000,2110310000,981600604
920128101,fecmp,129,22,2010000000,2110310000,1049935800
920128101,fecmp,129,23,2010000000,2110310000,997304596
920128101,fecmp,129,24,2010000000,2110310000,1085469576
920128101,fecmp,130,17,2010000000,2110310000,940799300
920128101,fecmp,130,18,2010000000,2110310000,1157193636
920128101,fecmp,130,19,2010000000,2110310000,1053944828
920128101,fecmp,130,20,2010000000,2110310000,1081190676
920128101,fecmp,130,21,2010000000,2110310000,924205272
920128101,fecmp,130,22,2010000000,2110310000,994032496
920128101,fecmp,130,23,2010000000,2110310000,1097533004
920128101,fecmp,130,24,2010000000,2110310000,1079177076
920128101,fecmp,131,17,2010000000,2110310000,1090386812
920128101,fecmp,131,18,2010000000,2110310000,1040254436
920128101,fecmp,131,19,2010000000,2110310000,1066880120
920128101,fecmp,131,20,2010000000,2110310000,1069765584
920128101,fecmp,131,21,2010000000,2110310000,1032083272
920128101,fecmp,131,22,2010000000,2110310000,1006095924
920128101,fecmp,131,23,2010000000,2110310000,1055823492
920128101,fecmp,131,24,2010000000,2110310000,966786648
920128101,fecmp,132,17,2010000000,2110310000,974706112
920128101,fecmp,132,18,2010000000,2110310000,1073909548
920128101,fecmp,132,19,2010000000,2110310000,1019534616
920128101,fecmp,132,20,2010000000,2110310000,986382904
920128101,fecmp,132,21,2010000000,2110310000,1043895000
920128101,fecmp,132,22,2010000000,2110310000,1051311064
920128101,fecmp,132,23,2010000000,2110310000,1066376720
920128101,fecmp,132,24,2010000000,2110310000,1111960324
920128101,fecmp,133,17,2010000000,2110310000,1087599940
920128101,fecmp,133,18,2010000000,2110310000,1191468912
920128101,fecmp,133,19,2010000000,2110310000,960629084
920128101,fecmp,133,20,2010000000,2110310000,1062619392
920128101,fecmp,133,21,2010000000,2110310000,989016668
920128101,fecmp,133,22,2010000000,2110310000,1001196860
920128101,fecmp,133,23,2010000000,2110310000,1035858772
920128101,fecmp,133,24,2010000000,2110310000,999686660
920128101,fecmp,134,17,2010000000,2110310000,1113102060
920128101,fecmp,134,18,2010000000,2110310000,1024550444
920128101,fecmp,134,19,2010000000,2110310000,1034115044
920128101,fecmp,134,20,2010000000,2110310000,994284196
920128101,fecmp,134,21,2010000000,2110310000,973447612
920128101,fecmp,134,22,2010000000,2110310000,1108202996
920128101,fecmp,134,23,2010000000,2110310000,1114729024
920128101,fecmp,134,24,2010000000,2110310000,965644912
